16424,text_reviews_count,1098
16426,title,Poirot's Early Cases
16426,authors,Agatha Christie
16426,average_rating,3.9
16426,isbn,000231312X
16426,isbn13,9780002313124
16426,language_code,en-GB
16426,# num_pages,256
16426,ratings_count,85
16426,text_reviews_count,7
16427,title,Dead Man's Folly (Hercule Poirot  #33)
16427,authors,Agatha Christie
16427,average_rating,3.8
16427,isbn,0007121075
16427,isbn13,9780007121076
16427,language_code,eng
16427,# num_pages,288
16427,ratings_count,553
16427,text_reviews_count,62
16428,title,Hercule Poirot's Casebook (Hercule Poirot  #42)
16428,authors,Agatha Christie
16428,average_rating,4.3
16428,isbn,0399150218
16428,isbn13,9780399150210
16428,language_code,eng
16428,# num_pages,861
16428,ratings_count,1852
16428,text_reviews_count,47
16464,title,Poirot: The Complete Ariadne Oliver  Vol. 2
16464,authors,Agatha Christie
16464,average_rating,4.2
16464,isbn,0007190689
16464,isbn13,9780007190683
16464,language_code,en-US
16464,# num_pages,727
16464,ratings_count,83
16464,text_reviews_count,4
22159,title,Ten Little Indians
22159,authors,Agatha Christie
22159,average_rating,4.2
22159,isbn,0671801511
22159,isbn13,9780671801519
22159,language_code,eng
22159,# num_pages,173
22159,ratings_count,40
22159,text_reviews_count,7
31300,title,A Caribbean Mystery (Miss Marple  #10)
31300,authors,Agatha Christie
31300,average_rating,3.8
31300,isbn,0451199928
31300,isbn13,9780451199928
31300,language_code,eng
31300,# num_pages,224
31300,ratings_count,17398
31300,text_reviews_count,681
31301,title,Miss Marple's Final Cases (Miss Marple #14)
31301,authors,Agatha Christie
31301,average_rating,3.8
31301,isbn,0002315963
31301,isbn13,9780002315968
31301,language_code,eng
31301,# num_pages,160
31301,ratings_count,4006
31301,text_reviews_count,149
31302,title,Five Complete Miss Marple Novels: The Mirror Crack'd / A Caribbean Mystery / Nemesis / What Mrs. McGillicuddy Saw! / The Body in the Library
31302,authors,Agatha Christie
31302,average_rating,4.4
31302,isbn,0517035804
31302,isbn13,9780517035801
31302,language_code,eng
31302,# num_pages,650
31302,ratings_count,117
31302,text_reviews_count,6
31303,title,At Bertram's Hotel
31303,authors,Agatha Christie
31303,average_rating,3.7
31303,isbn,0451199936
31303,isbn13,9780451199935
31303,language_code,eng
31303,# num_pages,224
31303,ratings_count,234
31303,text_reviews_count,14
31304,title,Nemesis (Miss Marple #12)
31304,authors,Agatha Christie
31304,average_rating,3.8
31304,isbn,0451200187
31304,isbn13,9780451200181
31304,language_code,eng
31304,# num_pages,224
31304,ratings_count,17937
31304,text_reviews_count,703
31306,title,Murder at the Vicarage
31306,authors,Agatha Christie
31306,average_rating,4.0
31306,isbn,0451201159
31306,isbn13,9780451201157
31306,language_code,eng
31306,# num_pages,256
31306,ratings_count,451
31306,text_reviews_count,50
31307,title,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel)
31307,authors,Agatha Christie
31307,average_rating,4.3
31307,isbn,0006499619
31307,isbn13,9780006499619
31307,language_code,eng
31307,# num_pages,688
31307,ratings_count,130
31307,text_reviews_count,4
31308,title,A Murder Is Announced (Miss Marple  #5)
31308,authors,Agatha Christie
31308,average_rating,4.0
31308,isbn,0007120966
31308,isbn13,9780007120963
31308,language_code,eng
31308,# num_pages,382
31308,ratings_count,680
31308,text_reviews_count,87
31309,title,The Thirteen Problems (Miss Marple  #2)
31309,authors,Agatha Christie
31309,average_rating,3.9
31309,isbn,0007120869
31309,isbn13,9780007120864
31309,language_code,eng
31309,# num_pages,315
31309,ratings_count,12840
31309,text_reviews_count,578
31318,title,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas)
31318,authors,Agatha Christie
31318,average_rating,4.0
31318,isbn,0553525638
31318,isbn13,9780553525632
31318,language_code,eng
31318,# num_pages,3
31318,ratings_count,32
31318,text_reviews_count,2
31319,title,They Do It With Mirrors (Miss Marple #6)
31319,authors,Agatha Christie
31319,average_rating,3.8
31319,isbn,0007120877
31319,isbn13,9780007120871
31319,language_code,eng
31319,# num_pages,284
31319,ratings_count,415
31319,text_reviews_count,46
31322,title,Three Classic Mysteries Starring Miss Marple: A Murder is Announced /The Body in the Library / Murder With Mirrors
31322,authors,Agatha Christie
31322,average_rating,4.2
31322,isbn,0396074510
31322,isbn13,9780396074519
31322,language_code,eng
31322,# num_pages,628
31322,ratings_count,119
31322,text_reviews_count,6
33400,title,Das Haus an der Düne
33400,authors,Agatha Christie
33400,average_rating,3.9
33400,isbn,3596506808
33400,isbn13,9783596506804
33400,language_code,ger
33400,# num_pages,222
33400,ratings_count,56
33400,text_reviews_count,3
37562,title,The Listerdale Mystery
37562,authors,Agatha Christie
37562,average_rating,3.6
37562,isbn,0007154887
37562,isbn13,9780007154883
37562,language_code,eng
37562,# num_pages,317
37562,ratings_count,178
37562,text_reviews_count,32
37563,title,Mörderblumen
37563,authors,Agatha Christie
37563,average_rating,3.7
37563,isbn,3502509131
37563,isbn13,9783502509134
37563,language_code,ger
37563,# num_pages,158
37563,ratings_count,7
37563,text_reviews_count,0
37574,title,The Mirror Crack'd
37574,authors,Agatha Christie
37574,average_rating,3.9
37574,isbn,0553350153
37574,isbn13,9780553350159
37574,language_code,eng
37574,# num_pages,212
37574,ratings_count,62
37574,text_reviews_count,10
37575,title,Dead Man's Mirror
37575,authors,Agatha Christie
37575,average_rating,3.8
37575,isbn,0553350749
37575,isbn13,9780553350746
37575,language_code,eng
37575,# num_pages,233
37575,ratings_count,30
37575,text_reviews_count,1
37582,title,Miss Marple Meets Murder: The Mirror Crack'd / A Pocket Full of Rye / At Bertram's Hotel / The Moving Finger
37582,authors,Agatha Christie
37582,average_rating,4.2
37582,isbn,2731800097
37582,isbn13,9780800327101
37582,language_code,eng
37582,# num_pages,661
37582,ratings_count,172
37582,text_reviews_count,9
39954,title,Dame Agatha Abroad: Murder on the Orient Express / They Came to Bagdad / Murder in Mesopotamia
39954,authors,Agatha Christie
39954,average_rating,4.0
39954,isbn,0739460870
39954,isbn13,9780739460870
39954,language_code,eng
39954,# num_pages,568
39954,ratings_count,43
39954,text_reviews_count,6
